title,location_score,public_access_score,description,virtual,location_city
"Efficient and Long-Context GenAI Models - Sung Ju Hwang, KAIST Endowed Chair Professor, Kim Jaechul School of Artificial Intelligence and School of Computing at KAIST",1.0,0.5476170182228088,"Generative AI models have demonstrated remarkable performance across various tasks in recent years. However, their deployment in real-world production-grade AI systems is hindered by significant computational costs. Additionally, these models are constrained by their limited context window size, which restricts their ability to handle more complex tasks that require larger working memory. In this talk, I will present recent advancements from our group aimed at addressing these challenges in generative AI models.",True,Vancouver
2024 Constance van Eeden Seminar: Dr. Sherri Rose,1.0,0.7743357419967651,"This seminar will discuss ethical AI and its implications in health, focusing on fairness, data bias, and community engagement in research.",True,Vancouver
"A Physical perspective on Graph Neural Networks - Michael Bronstein, Professor, University of Oxford",1.0,0.7089534997940063,"The message-passing paradigm has been the 'battle horse' of deep learning on graphs for several years, making graph neural networks a big success in a wide range of applications. We propose physics-inspired 'continuous' learning models that open up new tools from differential geometry, algebraic topology, and differential equations in graph ML.",True,Vancouver
"New Advances in Safe and Efficient Large Language Models - Hongyang Zhang, Assistant Professor, University of Waterloo",1.0,0.7091513276100159,Recent strides in large language models (LLMs) have underscored the critical importance of addressing both AI safety and decoding efficiency. This talk provides valuable insights into the ongoing efforts to enhance both the safety and efficiency of large language models.,True,Vancouver
"Diffusion Models: From Foundations to Image, Video and 3D Content Creation - Karsten Kreis, Senior Research Scientists, NVIDIA’s Toronto AI Lab",1.0,0.7375150322914124,Denoising diffusion-based generative models have led to multiple breakthroughs in deep generative learning. This talk provides an overview of recent works on diffusion models and their applications for digital content creation.,True,Vancouver
"Reconstructing Training Data from Model Gradient, Provably - Qi Lei, Assistant Professor, NYU",1.0,0.8662254214286804,"Understanding when and how much a model gradient leaks information about the training sample is an important question in privacy. This talk presents a surprising result: we can fully reconstruct the training samples from a single gradient query at a randomly chosen parameter value, suggesting potential severe threats to privacy, especially in federated learning.",True,Vancouver
Training: How to lobby for universal public pharmacare to make life more affordable,1.0,0.9057803750038147,"Whether you’re meeting with your MP online or in-person, we’ll teach you everything you need to know to tell MPs why workers need universal public pharmacare with confidence. Don’t miss out—sign up now and learn how to become a lobbying powerhouse!",True,online
"How to lobby for good, sustainable jobs",1.0,0.9589760303497314,"Whether you’re meeting with your MP online or in-person, we’ll teach you everything you need to know to tell MPs why workers need good, sustainable jobs with confidence. Don’t miss out—sign up now and learn how to become a lobbying powerhouse!",True,online
CIFAR Talks: Women in Research,1.0,0.7173416614532471,"In celebration of International Women’s Day, CIFAR brings together a dynamic panel of brilliant interdisciplinary women who have dissected the politics of race and identity, made groundbreaking discoveries in the microbiome and pioneered responsible AI.",True,online
Watch: CIFAR Talks: Nurturing a Resilient Earth,1.0,0.5808926224708557,"This virtual talk features an interdisciplinary panel of researchers discussing novel approaches to address climate change and its impacts, moderated by Stephen Toope, President & CEO of CIFAR.",True,online
CIFAR Talks: Future Cities,1.0,0.9201415181159973,"On World Cities Day, join CIFAR for a panel discussion that uncovers what we must anticipate in order to shape thriving cities of the future.",True,online
CIFAR Virtual Talks: Appeals to human dignity: do they make a difference?,1.0,0.8511988520622253,"Join us as members of CIFAR’s Boundaries, Membership & Belonging program, Will Kymlicka and Evan Lieberman, take us through research that explores whether reminders of our common humanity is sufficient to generate support for vulnerable groups.",True,online
