title,start_date,start_time,end_date,end_time,description,url,virtual,location_city,scrape_source,scrape_datetime,in_canada,open_to_public
"February 14th Women’s Memorial March Honouring Missing and Murdered Indigenous Women, Girls, and Two-Spirit Peoples (MMIWG2S+)",2024-02-14,00:00:00-05:00,2024-02-14,00:00:00-05:00,"On February 14, communities across Canada will hold Women’s Memorial Marches to remember and honour missing and murdered Indigenous women, girls and two-spirit people. Show your support and solidarity by participating in a march in your area.",https://canadianlabour.ca/events/february-14th-womens-memorial-march-honouring-missing-and-murdered-indigenous-women-girls-and-two-spirit-peoples-mmiwg2s-2/,False,Montreal,https://canadianlabour.ca/events/,2024-09-15 17:23:45.407184-04:00,True,True
CIFAR Virtual Talks: AI agents among us: causality and reinforcement learning,2023-03-23,12:00:00-04:00,2023-03-23,13:00:00-04:00,"How can AI systems become better at planning, reasoning, making decisions, and adapting to their digital environments? This event is free and open to the public.",https://events.cifar.ca/ereg/newreg.php?eventid=732344&,True,Montreal,https://cifar.ca/public-events/,2024-09-15 17:26:53.923019-04:00,True,True
CIFAR Virtual Talks: Life in the deep biosphere,2023-02-01,12:00:00-05:00,2023-02-01,12:45:00-05:00,Join us for a fascinating interdisciplinary discussion between CIFAR fellows Jason E. Stajich and Magdalena Osburn about life in the deep biosphere. This event is free and open to the public.,https://cifar.zoom.us/webinar/register/WN_uQaiNPraTLmjagu6nnaRJQ,True,online,https://cifar.ca/public-events/,2024-09-15 17:26:53.923019-04:00,True,True
Watch CIFAR Virtual Talks: Unhackable: The future of quantum computing and cybersecurity,2022-06-09,10:00:00-04:00,2022-06-09,10:30:00-04:00,"Free, and open to the public, join us as we bring high-impact research from CIFAR’s fellows, chairs, scholars and advisors to the forefront. This event discusses how quantum algorithms can be used to solve emerging problems in cybersecurity and quantum computing.",https://cifar.ca/events/unhackable-the-future-of-quantum-computing-and-cybersecurity/,True,online,https://cifar.ca/public-events/,2024-09-15 17:26:53.923019-04:00,True,True
CIFAR Virtual Talks: Superconductors: the next tech superstar?,2022-05-17,13:00:00-04:00,2022-05-17,13:30:00-04:00,"Free, and open to the public, join us as we bring high-impact research from CIFAR’s fellows, chairs, scholars and advisors to the forefront. Join us for an exciting discussion with Quantum Materials members Pablo Jarillo-Herrero and Alannah Hallas on harnessing superconductivity for future applications.",https://cifar.zoom.us/webinar/register/WN_MFm80aIQTlmkfMVTN_Qq_g,True,online,https://cifar.ca/public-events/,2024-09-15 17:26:53.923019-04:00,True,True
CIFAR Virtual Talks: Do robots help us live better lives?,2022-04-27,,2022-04-27,,"Free, and open to the public, join us as we bring high-impact research from CIFAR’s fellows, chairs, scholars and advisors to the forefront. As artificially intelligent robots become more advanced – how can they be used to help us live better lives?",https://cifar.zoom.us/webinar/register/WN_0qG_oAzZQc6g5bmBiVB71w,True,online,https://cifar.ca/public-events/,2024-09-15 17:26:53.923019-04:00,True,True
Watch CIFAR Virtual Talks: How do we get to net-zero?,2022-03-15,13:00:00-05:00,2022-03-15,13:30:00-05:00,"Free, and open to the public, join us as we bring high-impact research from CIFAR’s fellows, chairs, scholars and advisors to the forefront.",https://cifar.zoom.us/webinar/register/WN_O735Zun8Swy58eG1a6tXYg,True,online,https://cifar.ca/public-events/,2024-09-15 17:26:53.923019-04:00,True,True
Watch CIFAR Virtual Talks: What actually killed the dinosaurs?,2022-02-23,14:30:00-05:00,2022-02-23,15:00:00-05:00,"Free, and open to the public, join us as we bring high-impact research from CIFAR’s fellows, chairs, scholars and advisors to the forefront. The culprit for the dinosaurs’ demise 65 million years ago may not have been a catastrophic meteor, but something much, much smaller: fungi.",https://cifar.zoom.us/webinar/register/WN_4LldLeXpQfuOLkF-dhQdmA,True,online,https://cifar.ca/public-events/,2024-09-15 17:26:53.923019-04:00,True,True
Watch Now: The Economist & CIFAR Special Event: How Science Can Save the World,2021-05-18,09:30:00-04:00,2021-05-18,10:30:00-04:00,"Join CIFAR for a special public event in partnership with The Economist: How Science Can Save the World. Scientific discovery has lengthened life expectancies, fed the world and taught humanity about our planet and the universe that surrounds it. Scientific methods are also to thank for the unprecedented speed with which Covid-19 vaccines have been developed.",https://event.on24.com/wcc/r/3059896/35FEC935B0602A90FA593B6D8AF33551,True,,https://cifar.ca/public-events/,2024-09-15 17:26:53.923019-04:00,True,True
2024 Canada Youth Internet Governance Forum,2024-09-27,09:30:00-04:00,2024-09-27,17:30:00-04:00,Free in person and virtual full day event discussing the most pressing Internet governance topics in Canada from a youth perspective.,https://www.eventbrite.ca/e/2024-canada-youth-internet-governance-forum-tickets-978631040787,True,Toronto,https://dais.ca/talks/,2024-09-15 17:33:33.181501-04:00,True,True
