title,labels,scores
CRDM conference on cybersecurity,"['available to Canadians', 'open to the general public']","[0.954328715801239, 0.04567129164934158]"
The effects of automation and AI on immigration to Canada,"['available to Canadians', 'open to the general public']","[0.9552366137504578, 0.044763412326574326]"
Reading club,"['available to Canadians', 'open to the general public']","[0.5443655252456665, 0.4556344747543335]"
ADOR-IA,"['available to Canadians', 'open to the general public']","[0.7444858551025391, 0.25551414489746094]"
"Launch of Artificial Intelligence, Culture and Media","['available to Canadians', 'open to the general public']","[0.5995776653289795, 0.4004223942756653]"
Launch of the State of Play report on the societal impacts of artificial intelligence and digital technology,"['open to the general public', 'available to Canadians']","[0.906312108039856, 0.09368783235549927]"
Action IA: Together for responsible development and adoption in industry,"['available to Canadians', 'open to the general public']","[0.5257233381271362, 0.47427666187286377]"
Interdisciplinary Dialogues: Rethinking culture in the age of AI,"['open to the general public', 'available to Canadians']","[0.7816659808158875, 0.21833403408527374]"
Reading club,"['available to Canadians', 'open to the general public']","[0.5644554495811462, 0.43554452061653137]"
Round table Politics in the age of artificial intelligence,"['open to the general public', 'available to Canadians']","[0.6723973155021667, 0.327602744102478]"
Women in Data,"['open to the general public', 'available to Canadians']","[0.5153384208679199, 0.48466160893440247]"
Women in RegTech,"['open to the general public', 'available to Canadians']","[0.7047051191329956, 0.29529494047164917]"
Finding Canada's Secret Sauce in its Fight Against Financial Crime,"['available to Canadians', 'open to the general public']","[0.7330805659294128, 0.26691940426826477]"
Canadian RegTech Association Annual Summit 2024,"['available to Canadians', 'open to the general public']","[0.77027428150177, 0.22972571849822998]"
Member Meet Up,"['open to the general public', 'available to Canadians']","[0.5995436906814575, 0.4004563093185425]"
Unlocking the Future of Financial Crime Solutions,"['open to the general public', 'available to Canadians']","[0.6883895993232727, 0.3116103708744049]"
Holiday Social,"['open to the general public', 'available to Canadians']","[0.8967588543891907, 0.10324119031429291]"
Canadian RegTech Awards,"['available to Canadians', 'open to the general public']","[0.747387707233429, 0.25261223316192627]"
Achieving Operational Resiliency in an Age of Disruption,"['open to the general public', 'available to Canadians']","[0.7555449604988098, 0.2444550096988678]"
Upcoming Events,"['open to the general public', 'available to Canadians']","[0.7318113446235657, 0.26818862557411194]"
